year,cycle,midterm,abbr,inc
2020,3,0,AL,1
2020,3,0,AK,-1
2020,3,0,AZ,-1
2020,3,0,AR,-1
2020,3,0,CO,-1
2020,3,0,DE,1
2020,3,0,GA,-1
2020,3,0,GA-S,-1
2020,3,0,ID,-1
2020,3,0,IL,1
2020,3,0,IA,-1
2020,3,0,KS,-1
2020,3,0,KY,-1
2020,3,0,LA,-1
2020,3,0,ME,-1
2020,3,0,MA,1
2020,3,0,MI,1
2020,3,0,MN,1
2020,3,0,MS,-1
2020,3,0,MT,-1
2020,3,0,NE,-1
2020,3,0,NH,1
2020,3,0,NJ,1
2020,3,0,NM,0
2020,3,0,NC,-1
2020,3,0,OK,-1
2020,3,0,OR,1
2020,3,0,RI,1
2020,3,0,SC,-1
2020,3,0,SD,-1
2020,3,0,TN,0
2020,3,0,TX,-1
2020,3,0,VA,1
2020,3,0,WV,-1
2020,3,0,WY,0